map_name,times_played,attack_win_percent,defense_win_percent,tournament
Lotus,9,50%,50%,bangkok
Bind,7,46%,54%,bangkok
Split,7,51%,49%,bangkok
Haven,6,60%,40%,bangkok
Pearl,5,44%,56%,bangkok
Abyss,4,53%,47%,bangkok
Fracture,4,45%,55%,bangkok
Lotus,18,51%,49%,paris
Abyss,14,58%,42%,paris
Corrode,13,53%,47%,paris
Ascent,11,50%,50%,paris
Bind,11,46%,54%,paris
Sunset,11,39%,61%,paris
Haven,10,58%,42%,paris
Lotus,12,45%,55%,toronto
Icebox,11,59%,41%,toronto
Sunset,11,51%,49%,toronto
Split,9,56%,44%,toronto
Ascent,7,57%,43%,toronto
Haven,6,48%,52%,toronto
Pearl,3,58%,42%,toronto
Corrode,1,55%,45%,toronto
